iata,name,state,iso_region,lat,lon,faa_rank_cy24,runway_count,longest_runway_ft,enplanements_cy22,enplanements_cy23,enplanements_cy24,enplanements_cy25_prelim,bts_total_departures_12mo,bts_total_passengers_12mo,bts_total_routes,bts_longhaul_routes,longhaul_share_pct,data_completeness
ATL,Hartsfield/Jackson Atlanta International,GA,US-GA,33.6367,-84.428101,1,5,12390,45396001,50950068,52511402,51459786,348954,44837849,196,3,1.5,full
DFW,Dallas-Fort Worth International,TX,US-TX,32.896801,-97.038002,2,7,13401,35345138,39246212,42351316,41297009,321227,35649143,222,4,1.8,full
DEN,Denver International,CO,US-CO,39.860027,-104.673792,3,6,16000,33773832,37863967,40012895,39976695,323034,37620583,237,5,2.1,full
ORD,Chicago O'Hare International,IL,US-IL,41.9786,-87.9048,4,8,13000,33120474,35843104,38575693,40680735,347287,32944421,243,5,2.1,full
LAX,Los Angeles International,CA,US-CA,33.942501,-118.407997,5,4,12894,32326616,40956673,37760834,36497303,200625,25436137,179,6,3.4,full
JFK,John F Kennedy International,NY,US-NY,40.639447,-73.779317,6,4,14511,27154885,30804355,31466102,30792806,125658,14046498,118,7,5.9,full
CLT,Charlotte/Douglas International,NC,US-NC,35.2140007019043,-80.94309997558594,7,3,10000,23100300,25896224,28523822,25873555,249453,24591100,174,0,0.0,full
LAS,Harry Reid International,NV,US-NV,36.083361,-115.151817,8,4,14835,25480500,27896199,28244966,26531765,194418,25512807,176,6,3.4,full
MCO,Orlando International,FL,US-FL,28.429399490356445,-81.30899810791016,9,4,12005,24469733,28033205,27859783,27999709,163781,23611965,150,3,2.0,full
MIA,Miami International,FL,US-FL,25.796011,-80.289751,10,4,13016,23949892,24717048,26588002,26450972,111727,14709250,119,4,3.4,full
PHX,Phoenix Sky Harbor International,AZ,US-AZ,33.435302,-112.005905,11,3,11489,21852586,23880504,25595723,25094817,203408,23903748,161,6,3.7,full
SEA,Seattle-Tacoma International,WA,US-WA,47.447943,-122.310276,12,3,11901,22157862,24594210,25414592,25417071,186560,22329595,142,11,7.7,full
SFO,San Francisco International,CA,US-CA,37.619806,-122.374821,13,4,11870,20411420,24191159,25078968,26251850,148887,18659041,141,11,7.8,full
EWR,Newark Liberty International,NJ,US-NJ,40.6894,-74.170545,14,3,11000,21774690,24575320,24544320,23464492,134609,16049568,132,6,4.5,full
IAH,George Bush Intcntl/Houston,TX,US-TX,29.9844,-95.3414,15,5,12001,19814052,22228844,23349157,23265028,169546,17323756,165,2,1.2,full
BOS,General Edward Lawrence Logan International,MA,US-MA,42.36197,-71.0079,16,6,10083,17443775,19962678,21090721,21021153,165234,16766934,140,9,6.4,full
MSP,Minneapolis-St Paul International/Wold-Chamberlain,MN,US-MN,44.880081,-93.221741,17,4,11006,15242089,17019128,18054481,17488261,142409,15923228,175,2,1.1,full
FLL,Fort Lauderdale/Hollywood International,FL,US-FL,26.072599,-80.152702,18,2,9000,15370165,17063063,17096131,15646752,90711,12834748,129,3,2.3,full
LGA,Laguardia,NY,US-NY,40.777199,-73.872597,19,2,7002,14367463,16173073,16715567,16278532,164230,15609252,119,1,0.8,full
DTW,Detroit Metro Wayne County,MI,US-MI,42.21377,-83.353786,20,6,12003,13751197,15378601,16110696,16294768,140490,14527569,161,3,1.9,full
PHL,Philadelphia International,PA,US-PA,39.871899,-75.241096,21,4,12000,12421168,13658669,15102261,14779849,125137,13009585,159,2,1.3,full
SLC,Salt Lake City International,UT,US-UT,40.78886,-111.979866,22,4,12002,12383843,12905368,13543570,13429128,116384,12781887,168,3,1.8,full
BWI,Baltimore/Washington International Thurgood Marshall,MD,US-MD,39.1754,-76.668297,23,3,10503,11151169,12849721,13221461,12274134,96923,11906859,107,0,0.0,full
IAD,Washington Dulles International,VA,US-VA,38.9445,-77.455803,24,4,11500,10266324,12073571,13003234,13859569,97032,8698873,167,3,1.8,full
SAN,San Diego International,CA,US-CA,32.733601,-117.190002,25,1,9401,11162224,12190183,12780013,12675684,98209,12162742,115,6,5.2,full
DCA,Ronald Reagan Washington Ntl,VA,US-DC,38.8521,-77.037697,26,3,7169,11553850,12365030,12750892,12003594,146239,11994701,133,0,0.0,full
TPA,Tampa International,FL,US-FL,27.9755,-82.533203,27,3,11002,10539459,11677632,12075591,12110427,86331,11162960,115,1,0.9,full
BNA,Nashville International,TN,US-TN,36.1245,-86.6782,28,4,11030,9829062,11227243,12058688,12549304,105862,11953009,156,0,0.0,full
AUS,Austin-Bergstrom International,TX,US-TX,30.197535,-97.662015,29,2,12250,10382573,10833443,10678073,10651727,86280,10060944,129,1,0.8,full
HNL,Daniel K Inouye International,HI,US-HI,21.318387,-157.92567,30,6,12360,8828395,10149761,10449022,10430353,74675,8787054,43,30,69.8,full
MDW,Chicago Midway International,IL,US-IL,41.785999,-87.752403,31,4,6522,9650281,10659520,10360093,9367712,75186,9265769,106,0,0.0,full
DAL,Dallas Love Field,TX,US-TX,32.844776,-96.847653,32,2,8800,7819129,8559052,8654991,8151354,71827,8303915,96,0,0.0,full
PDX,Portland International,OR,US-OR,45.588699,-122.598,33,3,11000,7241882,8123054,8639088,9054394,76465,8604211,118,10,8.5,full
STL,St Louis Lambert International,MO,US-MO,38.748697,-90.370003,34,4,11020,6709080,7307561,7807362,7483526,70995,7318248,109,0,0.0,full
RDU,Raleigh-Durham International,NC,US-NC,35.878659,-78.7873,35,3,10000,5849665,7119040,7584394,7670956,66298,7304102,117,0,0.0,full
HOU,William P Hobby,TX,US-TX,29.645336,-95.276812,36,3,7602,6462948,6800320,7116967,6790274,55368,6409238,101,0,0.0,full
SMF,Sacramento International,CA,US-CA,38.6954,-121.591003,37,2,8605,6040824,6371910,6679426,6805910,59398,6574865,86,5,5.8,full
MSY,Louis Armstrong New Orleans International,LA,US-LA,29.993401,-90.264673,38,2,10104,5931899,6309212,6537092,6221146,52422,6220307,124,0,0.0,full
SJU,Luis Munoz Marin International,PR,PR-U-A,18.4394,-66.001801,39,2,10002,5039771,5985001,6490669,6658037,48292,5909904,70,4,5.7,full
MCI,Kansas City International,MO,US-MO,39.301699,-94.713893,40,3,10801,4796476,5654068,5915078,5613974,51627,5637014,119,0,0.0,full
SJC,Norman Y Mineta San Jose International,CA,US-CA,37.362452,-121.929188,41,2,11000,5590137,5958855,5822019,5257421,50106,5225721,72,1,1.4,full
SAT,San Antonio International,TX,US-TX,29.533701,-98.469803,42,3,8505,4751610,5336684,5466684,5237816,42605,4995105,84,0,0.0,full
RSW,Southwest Florida International,FL,US-FL,26.534685,-81.752816,43,1,12000,5132694,4963269,5425293,5504420,39662,5272627,94,1,1.1,full
SNA,John Wayne/Orange County,CA,US-CA,33.675063,-117.869281,44,2,5700,5536313,5706332,5370273,5521729,46228,5215528,86,0,0.0,full
